country,description,designation,points,price,province,region_1,region_2,taster_name,title,variety,winery,freq,c_freq,red,rose,white,sparkling,flavor_categories_taste_notes
France,"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",Brut Rosé,86,58.0,Champagne,Champagne,,Roger Voss,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion,1396.0,21002.0,0.0,0.0,0.0,1.0,other sparkling
France,"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",Brut Rosé,86,55.0,Champagne,Champagne,,Roger Voss,Collet NV Brut Rosé  (Champagne),Champagne Blend,Collet,1396.0,21002.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"Honey, almond blossom and citrus zest are followed by creamy foam and tonic acidity. This is an easygoing Prosecco that offers a light and compact structure and bright flavors of lime and green fruit.",Extra Dry,86,15.0,Veneto,Prosecco di Valdobbiadene,,,Bellussi NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Bellussi,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,"Paladin produces a luminous and fresh Prosecco from the northeast of Italy with tonic aromas of peach, white stone and citrus fruit. It's an easy-drinking wine that would wash down well with appetizers and informal finger foods.",Millesimato Brut,86,20.0,Veneto,Veneto,,,Paladin 2007 Millesimato Brut Prosecco (Veneto),Prosecco,Paladin,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,Soapy aromas of bee's wax and lavender open the nose of this luminous sparkler and are followed by dried flowers and hay. There are peach-like flavors with aftertastes of green melon and lime. Grapes are grown organically and according to biodynamic principles.,Col di Manza Extra Dry Millesimato,86,22.0,Veneto,Prosecco di Valdobbiadene,,,Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene),Prosecco,Perlage,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,This Brut interpretation of Prosecco (“Brut” means it tastes dry in the mouth) offers tangy fizz and soda-like intensity backed by subdued aromas of white mineral and stone fruit. Pair it with puff pastry appetizers.,Brut,86,16.0,Veneto,Prosecco di Valdobbiadene,,,Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,"This is a “dry” vintage Prosecco with a hint of sweetness in the mouth that is surrounded by fragrant flavors of peach, kiwi and green melon. This luminous sparkler tastes firm and tonic and makes for an informal afternoon sipper.",Millesimato Dry,86,18.0,Veneto,Prosecco di Valdobbiadene,,,Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,The wine's golden hue tells you this is Prosecco from a warmer climate (Conegliano is a few degrees warmer than Valdobbiadene) as do its aromas of mature peach and honeysuckle. The wine tastes flat and big in the mouth and offers sophisticated notes of white pepper and spice.,Matiú Brut,86,12.0,Veneto,Prosecco di Conegliano,,,L'Antica Quercia 2007 Matiú Brut  (Prosecco di Conegliano),Prosecco,L'Antica Quercia,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,Drying mineral tones face off with luscious peach flavors to create a well-balanced Extra Dry Prosecco sparkler. The bubbly offers cheerful foaming in the mouth and sweet fruit flavors on the close.,Extra Dry,86,15.0,Veneto,Prosecco di Valdobbiadene,,,Marsuret NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Marsuret,236.0,16121.0,0.0,0.0,0.0,1.0,"balanced, complex, moderate"
Italy,"This Prosecco Brut from the slightly warmer Conegliano subzone is a perfect example of its kind. The luminous sparkler offers drying mineral tones that are embellished by pretty notes of white rose, honey, stone fruit and citrus. The mouthfeel is lean, smooth and fresh.",Palazzo Rosso Brut,86,19.0,Veneto,Prosecco di Conegliano,,,Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano),Prosecco,Sommariva,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
Italy,This crisp sparkler is characterized by drying mineral tones and delicate aromas of stone fruit and citrus. The wine is foamy and slightly sweet in the mouth and does an excellent job of representing this category of Italian wine.,Col del Sas Extra Dry,86,18.0,Veneto,Prosecco di Valdobbiadene,,,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol,236.0,16121.0,0.0,0.0,0.0,1.0,"dry, crisp, briny, acidic"
France,"A ripe, fruity wine that takes its raspberry flavor from the color. The wine has softness, a creamy character that rounds out any acidity, leaving a smooth, fruity finish.",Mosaïque Rosé Brut,86,42.0,Champagne,Champagne,,Roger Voss,Jacquart NV Mosaïque Rosé Brut  (Champagne),Champagne Blend,Jacquart,1396.0,21002.0,0.0,0.0,0.0,1.0,"sweet, modest, fruity"
